,Playing Time,Performance,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,25,25,"2,250",25.0,22,0.88,83,61,75.9,15,8,2,9,36.0,2,2,0,0,0.0
Aston Villa,2,25,25,"2,250",25.0,38,1.52,102,63,63.7,10,8,7,3,12.0,2,1,1,0,50.0
Bournemouth,3,25,25,"2,250",25.0,29,1.16,125,96,78.4,12,7,6,6,24.0,2,2,0,0,0.0
Brentford,2,25,25,"2,250",25.0,42,1.68,149,109,72.5,10,4,11,4,16.0,1,1,0,0,0.0
Brighton,2,25,25,"2,250",25.0,38,1.52,96,60,66.7,9,10,6,6,24.0,6,6,0,0,0.0
Chelsea,2,25,25,"2,250",25.0,34,1.36,117,82,75.2,12,7,6,4,16.0,6,5,1,0,16.7
Crystal Palace,1,25,25,"2,250",25.0,32,1.28,100,69,69.0,7,9,9,7,28.0,2,1,1,0,50.0
Everton,1,25,25,"2,250",25.0,31,1.24,105,72,70.5,7,9,9,9,36.0,2,0,2,0,100.0
Fulham,1,25,25,"2,250",25.0,33,1.32,98,66,67.3,10,9,6,4,16.0,1,1,0,0,0.0
Ipswich Town,3,25,25,"2,250",25.0,50,2.00,139,89,67.6,3,8,14,2,8.0,5,5,0,0,0.0
Leicester City,3,25,25,"2,250",25.0,55,2.20,144,91,62.5,4,5,16,1,4.0,1,1,0,0,0.0
Liverpool,3,25,25,"2,250",25.0,24,0.96,84,59,71.4,18,6,1,10,40.0,1,0,1,0,100.0
Manchester City,2,25,25,"2,250",25.0,35,1.40,96,62,66.7,13,5,7,6,24.0,3,3,0,0,0.0
Manchester Utd,1,25,25,"2,250",25.0,35,1.40,99,64,67.7,8,5,12,7,28.0,4,3,1,0,25.0
Newcastle Utd,2,25,25,"2,250",25.0,33,1.32,114,82,71.1,12,5,8,8,32.0,0,0,0,0,
Nott'ham Forest,1,25,25,"2,250",25.0,29,1.16,111,82,74.8,14,5,6,10,40.0,1,1,0,0,0.0
Southampton,3,25,25,"2,250",25.0,57,2.28,164,107,67.7,2,3,20,2,8.0,4,4,0,0,0.0
Tottenham,4,25,25,"2,250",25.0,37,1.48,109,74,67.9,9,3,13,6,24.0,2,2,0,0,0.0
West Ham,2,25,25,"2,250",25.0,47,1.88,133,89,66.9,7,6,12,4,16.0,3,3,0,0,0.0
Wolves,2,25,25,"2,250",25.0,54,2.16,121,69,60.3,5,4,16,4,16.0,7,6,1,0,14.3
