,Total,Short,Medium,Long,,Expected,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,25.0,10784,12922,83.5,177766,57120,5455,5976,91.3,4409,4989,88.4,721,1387,52.0,38,30.5,30.2,+7.5,267,872,268,45,1159
Aston Villa,28,25.0,9975,12014,83.0,170133,58424,4583,5079,90.2,4488,5044,89.0,704,1314,53.6,26,26.5,25.0,-0.5,241,760,215,38,877
Bournemouth,28,25.0,8164,10725,76.1,149927,57793,3522,4087,86.2,3614,4287,84.3,887,1843,48.1,33,31.8,24.7,+1.2,306,806,214,58,994
Brentford,27,25.0,9020,11511,78.4,163690,62022,3999,4609,86.8,3951,4653,84.9,918,1749,52.5,27,29.3,25.1,-2.3,219,733,211,58,921
Brighton,30,25.0,10524,12696,82.9,180291,61796,5007,5531,90.5,4382,4984,87.9,907,1600,56.7,25,24.0,24.6,+1.0,242,781,212,57,1041
Chelsea,27,25.0,12291,14462,85.0,210782,66385,5583,6094,91.6,5559,6146,90.4,911,1626,56.0,34,37.4,29.0,-3.4,301,978,220,41,1048
Crystal Palace,27,25.0,8171,10812,75.6,147910,54901,3518,4110,85.6,3741,4453,84.0,770,1739,44.3,22,27.1,22.9,-5.1,254,627,181,43,818
Everton,25,25.0,7340,9729,75.4,139188,56296,3278,3798,86.3,2925,3490,83.8,1006,1929,52.2,15,20.1,17.8,-5.1,204,673,170,54,679
Fulham,26,25.0,10959,13343,82.1,193788,65168,4918,5474,89.8,4811,5457,88.2,1011,1798,56.2,33,28.0,24.9,+5.0,281,885,229,73,1038
Ipswich Town,32,25.0,7720,9888,78.1,135454,51189,3571,4027,88.7,3319,3885,85.4,675,1450,46.6,15,15.7,14.5,-0.7,172,573,107,33,602
Leicester City,28,25.0,9250,11602,79.7,154612,56595,4511,5047,89.4,3767,4354,86.5,726,1561,46.5,20,18.9,18.7,+1.1,177,664,153,48,719
Liverpool,24,25.0,12111,14412,84.0,203689,68792,5840,6355,91.9,5114,5786,88.4,888,1630,54.5,44,40.5,36.0,+3.5,330,1036,302,61,1264
Manchester City,27,25.0,14187,16061,88.3,229370,64937,7412,7974,93.0,5740,6264,91.6,840,1318,63.7,39,38.8,37.9,+0.2,337,1065,299,46,1288
Manchester Utd,27,25.0,11318,13671,82.8,186444,60768,5592,6180,90.5,4586,5168,88.7,824,1591,51.8,19,27.1,23.4,-8.1,263,781,205,43,949
Newcastle Utd,24,25.0,10151,12452,81.5,169603,60961,5018,5606,89.5,4199,4771,88.0,738,1488,49.6,31,32.5,28.5,-1.5,266,743,237,43,1020
Nott'ham Forest,23,25.0,7036,9362,75.2,118670,48929,3636,4162,87.4,2440,3049,80.0,683,1512,45.2,29,23.1,20.9,+5.9,226,591,150,33,721
Southampton,33,25.0,10891,12914,84.3,183291,59272,5164,5662,91.2,4706,5241,89.8,770,1448,53.2,12,18.6,17.7,-6.6,192,705,160,42,797
Tottenham,31,25.0,11470,13803,83.1,188687,64388,5428,6033,90.0,4998,5624,88.9,720,1342,53.7,36,32.4,27.3,+3.6,278,913,284,59,1163
West Ham,27,25.0,9187,11545,79.6,163925,59368,4214,4803,87.7,3885,4501,86.3,932,1727,54.0,16,22.6,22.0,-6.6,233,691,182,50,809
Wolves,27,25.0,8932,11212,79.7,155987,53481,4151,4668,88.9,3678,4211,87.3,860,1696,50.7,29,22.4,15.9,+6.6,201,661,185,44,776
