,Tackles,Challenges,Blocks,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,24,25.0,416,251,151,179,86,178,361,49.3,183,230,78,152,159,575,434,19
Aston Villa,28,25.0,430,249,200,173,57,198,357,55.5,159,213,69,144,168,598,486,29
Bournemouth,28,25.0,481,282,203,208,70,201,428,47.0,227,313,98,215,241,722,647,14
Brentford,27,25.0,423,259,200,145,78,208,392,53.1,184,320,134,186,192,615,692,18
Brighton,30,25.0,443,265,172,198,73,216,451,47.9,235,297,84,213,207,650,476,17
Chelsea,27,25.0,392,244,174,162,56,186,376,49.5,190,246,75,171,181,573,400,30
Crystal Palace,27,25.0,528,312,263,197,68,227,455,49.9,228,330,92,238,213,741,679,13
Everton,25,25.0,501,289,255,175,71,227,430,52.8,203,248,95,153,231,732,713,16
Fulham,26,25.0,430,253,201,178,51,179,359,49.9,180,245,65,180,220,650,515,18
Ipswich Town,32,25.0,407,222,200,152,55,190,431,44.1,241,274,115,159,220,627,674,27
Leicester City,28,25.0,499,288,252,189,58,215,457,47.0,242,341,124,217,213,712,639,18
Liverpool,24,25.0,424,261,182,178,64,232,429,54.1,197,242,60,182,204,628,459,17
Manchester City,27,25.0,325,196,122,136,67,143,294,48.6,151,218,61,157,151,476,387,24
Manchester Utd,27,25.0,531,319,245,207,79,251,469,53.5,218,247,73,174,268,799,452,16
Newcastle Utd,24,25.0,404,252,179,162,63,203,400,50.8,197,284,96,188,191,595,546,20
Nott'ham Forest,23,25.0,453,279,275,136,42,216,420,51.4,204,288,101,187,232,685,751,11
Southampton,33,25.0,440,256,199,186,55,186,395,47.1,209,303,134,169,201,641,615,39
Tottenham,31,25.0,452,291,190,188,74,211,415,50.8,204,291,95,196,210,662,499,26
West Ham,27,25.0,436,263,214,164,58,190,361,52.6,171,319,116,203,217,653,639,19
Wolves,27,25.0,533,312,296,187,50,243,447,54.4,204,312,103,209,209,742,613,17
