,Standard,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,24,25.0,49,338,122,36.1,13.52,4.88,0.14,0.39,14.8,3,2,2,40.0,38.5,0.12,+9.0,+8.5
Aston Villa,28,25.0,34,322,98,30.4,12.88,3.92,0.10,0.33,16.2,9,2,3,36.6,34.2,0.11,-2.6,-2.2
Bournemouth,28,25.0,44,396,138,34.8,15.84,5.52,0.10,0.28,16.7,7,6,7,46.8,41.3,0.11,-2.8,-3.3
Brentford,27,25.0,43,285,118,41.4,11.40,4.72,0.14,0.33,15.5,8,4,4,40.1,37.0,0.13,+2.9,+2.0
Brighton,30,25.0,37,348,114,32.8,13.92,4.56,0.10,0.32,17.5,17,1,1,33.7,33.0,0.10,+3.3,+3.0
Chelsea,27,25.0,46,397,133,33.5,15.88,5.32,0.11,0.32,16.3,14,3,3,49.2,46.8,0.12,-3.2,-3.8
Crystal Palace,27,25.0,28,345,119,34.5,13.80,4.76,0.08,0.22,17.3,11,2,2,35.3,33.8,0.10,-7.3,-7.8
Everton,25,25.0,24,274,87,31.8,10.96,3.48,0.08,0.26,17.3,10,1,1,26.3,25.5,0.09,-2.3,-2.5
Fulham,26,25.0,37,353,116,32.9,14.12,4.64,0.10,0.29,16.3,7,3,4,36.1,32.9,0.10,+0.9,+1.1
Ipswich Town,32,25.0,22,225,79,35.1,9.00,3.16,0.09,0.25,17.3,8,2,2,22.7,21.1,0.09,-0.7,-1.1
Leicester City,28,25.0,25,228,72,31.6,9.12,2.88,0.10,0.32,17.5,5,2,2,23.6,22.2,0.10,+1.4,+0.8
Liverpool,24,25.0,60,420,156,37.1,16.80,6.24,0.13,0.34,16.0,5,7,7,56.2,50.7,0.13,+3.8,+2.3
Manchester City,27,25.0,51,411,148,36.0,16.44,5.92,0.12,0.34,16.7,10,1,2,46.0,44.4,0.11,+5.0,+5.6
Manchester Utd,27,25.0,27,332,108,32.5,13.28,4.32,0.07,0.22,17.0,7,3,3,35.3,33.0,0.10,-8.3,-9.0
Newcastle Utd,24,25.0,41,339,107,31.6,13.56,4.28,0.12,0.36,15.9,8,2,3,41.7,39.4,0.12,-0.7,-0.4
Nott'ham Forest,23,25.0,40,315,112,35.6,12.60,4.48,0.12,0.33,17.6,12,3,3,32.1,29.8,0.10,+7.9,+7.2
Southampton,33,25.0,18,240,75,31.3,9.60,3.00,0.08,0.24,16.1,5,0,2,24.4,22.7,0.10,-6.4,-4.7
Tottenham,31,25.0,46,367,132,36.0,14.68,5.28,0.13,0.35,16.2,8,0,1,41.8,41.0,0.12,+4.2,+5.0
West Ham,27,25.0,28,341,93,27.3,13.64,3.72,0.07,0.27,16.7,10,3,3,32.7,30.4,0.09,-4.7,-5.4
Wolves,27,25.0,35,270,107,39.6,10.80,4.28,0.13,0.33,18.5,9,0,0,27.2,27.2,0.10,+7.8,+7.8
