Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Liverpool,25,18,6,1,60,24,+36,60,2.40,56.2,23.3,+32.9,+1.32,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Brentford 0–2 Liverpool"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Liverpool 4–1 Ipswich Town"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Bournemouth 0–2 Liverpool"">W <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""February 12, 2025
Everton 2–2 Liverpool"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 16, 2025
Liverpool 2–1 Wolves"">W","60,286",Mohamed Salah - 23,Alisson,
2,Arsenal,25,15,8,2,51,22,+29,53,2.12,40.0,21.4,+18.6,+0.74,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Arsenal 2–1 Tottenham"">W <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Arsenal 2–2 Aston Villa"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Wolves 0–1 Arsenal"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 2, 2025
Arsenal 5–1 Manchester City"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Leicester City 0–2 Arsenal"">W","60,276",Kai Havertz - 9,David Raya,
3,Nott'ham Forest,25,14,5,6,41,29,+12,47,1.88,32.1,28.8,+3.3,+0.13,"<div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
Nott'ham Forest 1–1 Liverpool"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Nott'ham Forest 3–2 Southampton"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Bournemouth 5–0 Nott'ham Forest"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Nott'ham Forest 7–0 Brighton"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Fulham 2–1 Nott'ham Forest"">L","30,056",Chris Wood - 18,Matz Sels,
4,Manchester City,25,13,5,7,52,35,+17,44,1.76,46.0,34.6,+11.4,+0.46,"<div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
Brentford 2–2 Manchester City"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Ipswich Town 0–6 Manchester City"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Manchester City 3–1 Chelsea"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 2, 2025
Arsenal 5–1 Manchester City"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Manchester City 4–0 Newcastle Utd"">W","52,905",Erling Haaland - 19,Ederson,
5,Bournemouth,25,12,7,6,44,29,+15,43,1.72,46.8,32.0,+14.8,+0.59,"<div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
Chelsea 2–2 Bournemouth"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Newcastle Utd 1–4 Bournemouth"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Bournemouth 5–0 Nott'ham Forest"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Bournemouth 0–2 Liverpool"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Southampton 1–3 Bournemouth"">W","11,213",Justin Kluivert - 11,Kepa Arrizabalaga,
6,Chelsea,25,12,7,6,47,34,+13,43,1.72,49.2,35.6,+13.5,+0.54,"<div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
Chelsea 2–2 Bournemouth"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 20, 2025
Chelsea 3–1 Wolves"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Manchester City 3–1 Chelsea"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 3, 2025
Chelsea 2–1 West Ham"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 14, 2025
Brighton 3–0 Chelsea"">L","39,608",Cole Palmer - 14,Robert Sánchez,
7,Newcastle Utd,25,12,5,8,42,33,+9,41,1.64,41.7,31.3,+10.5,+0.42,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Newcastle Utd 3–0 Wolves"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Newcastle Utd 1–4 Bournemouth"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Southampton 1–3 Newcastle Utd"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Newcastle Utd 1–2 Fulham"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Manchester City 4–0 Newcastle Utd"">L","52,186",Alexander Isak - 17,Nick Pope,
8,Fulham,25,10,9,6,38,33,+5,39,1.56,36.1,28.0,+8.1,+0.32,"<div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
West Ham 3–2 Fulham"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Leicester City 0–2 Fulham"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Fulham 0–1 Manchester Utd"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Newcastle Utd 1–2 Fulham"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Fulham 2–1 Nott'ham Forest"">W","26,533",Raúl Jiménez - 9,Bernd Leno,
9,Aston Villa,25,10,8,7,35,38,-3,38,1.52,36.6,30.2,+6.4,+0.26,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Everton 0–1 Aston Villa"">W <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Arsenal 2–2 Aston Villa"">D <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Aston Villa 1–1 West Ham"">D <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Wolves 2–0 Aston Villa"">L <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Aston Villa 1–1 Ipswich Town"">D","41,926",Ollie Watkins - 11,Emiliano Martínez,
10,Brighton,25,9,10,6,38,38,0,37,1.48,33.7,36.9,-3.1,-0.12,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 16, 2025
Ipswich Town 0–2 Brighton"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Manchester Utd 1–3 Brighton"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Brighton 0–1 Everton"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Nott'ham Forest 7–0 Brighton"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 14, 2025
Brighton 3–0 Chelsea"">W","32,309","Danny Welbeck, Kaoru Mitoma - 6",Bart Verbruggen,
