match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Expected goals,Final third entries,Fouled in final third,Free kicks,Goal kicks,Goalkeeper saves,Ground duels,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Yellow cards
1,12436870,man-utd,141,12/23 (52%),48%,2,2,,2,14,5,1/12 (8%),8,4/10 (40%),48%,1.31,20,0,4,3,1,21/46 (46%),0,9,12/26 (46%),0,185,40,,3,3,3,5,13,77%,0,9,1,8,13,0
1,12436870,fulham,150,11/23 (48%),52%,0,0,,3,13,7,5/17 (29%),7,5/11 (45%),52%,0.34,23,3,6,4,2,25/46 (54%),0,4,10/19 (53%),0,196,38,,4,3,1,3,14,71%,0,9,2,7,14,2
2,12436871,ipswich,137,5/15 (33%),34%,0,0,0,2,18,1,0/2 (0%),0,2/6 (33%),45%,0.15,16,0,4,5,3,15/29 (52%),0,6,5/17 (29%),5,167,17,,2,1,0,1,9,33%,0,9,3,3,9,0
2,12436871,liverpool,288,10/15 (67%),66%,6,4,2,5,8,4,4/11 (36%),4,9/14 (64%),55%,2.56,29,0,1,1,0,14/29 (48%),0,1,17/28 (61%),0,323,19,,12,5,5,3,4,50%,3,13,0,15,4,1
3,12436872,arsenal,123,7/12 (58%),41%,0,0,0,4,9,4,1/5 (20%),5,4/11 (36%),44%,0.52,18,1,5,3,2,20/50 (40%),0,2,6/19 (32%),0,157,21,,5,2,2,3,11,73%,,10,2,8,11,2
3,12436872,wolves,185,5/12 (42%),59%,0,0,0,0,7,2,3/10 (30%),6,6/11 (55%),56%,0.28,36,1,12,4,1,30/50 (60%),0,3,12/28 (43%),1,221,22,,4,4,2,2,12,50%,,8,1,6,12,0
4,12436873,everton,114,6/11 (55%),31%,0,0,0,3,7,0,1/4 (25%),4,0/4 (0%),46%,0.21,28,0,2,0,2,13/30 (43%),0,5,16/37 (43%),1,153,26,1,2,0,0,1,11,64%,,10,2,3,11,1
4,12436873,brighton,309,5/11 (45%),69%,1,1,0,1,6,4,3/11 (27%),6,2/7 (29%),54%,0.37,23,3,7,3,0,17/30 (57%),0,6,12/19 (63%),1,344,29,0,5,0,4,0,8,88%,,6,0,5,8,0
5,12436874,newcastle,31,5/9 (56%),16%,0,0,0,0,27,0,0/3 (0%),5,0/3 (0%),50%,0.00,17,1,8,6,3,18/37 (49%),0,3,7/22 (32%),0,60,21,0,0,0,0,0,10,80%,,5,3,0,10,1
5,12436874,southampton,282,4/9 (44%),84%,2,2,0,9,4,11,3/23 (13%),6,4/8 (50%),50%,1.38,35,2,7,2,0,19/37 (51%),0,1,10/13 (77%),0,316,22,0,11,2,4,4,8,25%,,8,0,15,8,2
6,12436875,forest,191,12/19 (63%),49%,0,0,0,2,20,2,3/8 (38%),4,2/4 (50%),55%,0.35,30,1,4,8,1,20/39 (51%),0,2,14/27 (52%),0,243,28,,4,0,3,1,14,43%,,13,1,5,14,1
6,12436875,bournemouth,193,7/19 (37%),51%,1,0,1,0,10,3,3/18 (17%),8,5/11 (45%),45%,0.67,33,1,8,2,3,19/39 (49%),0,7,14/36 (39%),1,246,38,,2,4,2,4,6,33%,,12,3,6,6,2
7,12436877,west-ham,171,7/14 (50%),51%,3,3,0,2,12,3,4/14 (29%),7,4/9 (44%),43%,1.50,14,0,5,2,0,16/40 (40%),0,1,10/23 (43%),0,203,29,,7,6,1,2,7,57%,0,4,0,9,7,0
7,12436877,aston-villa,164,7/14 (50%),49%,2,1,1,3,9,2,1/5 (20%),4,3/6 (50%),57%,0.81,33,1,10,5,2,24/40 (60%),0,3,7/23 (30%),1,203,25,,6,3,1,1,12,75%,1,9,2,7,12,1
8,12436879,brentford,123,12/23 (52%),40%,1,0,1,1,12,2,3/11 (27%),6,1/7 (14%),51%,1.09,23,2,6,3,5,16/32 (50%),0,5,10/28 (36%),0,172,31,,5,2,3,1,9,56%,0,8,5,6,9,0
8,12436879,crystal-palace,212,11/23 (48%),60%,1,1,0,3,19,6,1/10 (10%),4,1/6 (17%),49%,0.81,34,0,3,5,2,16/32 (50%),0,0,8/26 (31%),2,263,31,,4,2,5,6,12,75%,1,7,2,10,12,3
9,12436880,chelsea,197,2/5 (40%),44%,1,1,0,2,8,2,4/11 (36%),3,3/5 (60%),46%,0.72,26,0,5,2,1,17/36 (47%),0,6,8/18 (44%),0,228,21,,3,2,2,3,9,56%,0,8,1,6,9,1
9,12436880,man-city,268,3/5 (60%),56%,0,0,0,0,10,1,1/4 (25%),6,9/12 (75%),54%,0.22,22,1,5,2,2,19/36 (53%),0,7,9/22 (41%),1,303,22,,1,1,2,2,5,60%,0,13,2,3,5,1
10,12436881,leicester,111,6/11 (55%),31%,2,1,1,1,22,2,8/13 (62%),6,2/7 (29%),54%,0.98,17,2,9,2,2,24/45 (53%),0,5,6/21 (29%),1,147,25,,6,2,3,0,13,69%,1,8,2,6,13,1
10,12436881,tottenham,303,5/11 (45%),69%,1,1,0,2,13,4,2/10 (20%),7,6/12 (50%),46%,0.60,32,3,4,4,2,21/45 (47%),0,1,3/8 (38%),0,345,26,,5,1,2,0,11,45%,0,13,2,5,11,1
