match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
1,12436870,man-utd,408,19/35 (54%),55%,4,4,,1,2,20,7,3/18 (17%),13,8/19 (42%),50%,,0,2.43,46,114/147 (78%),3,12,10,6,2,0.92,39/82 (48%),2,0,19,23/40 (58%),3,482,,0,65,,7,7,5,7,21,67%,1,15,2,14,21,22,2
1,12436870,fulham,306,16/35 (46%),45%,0,0,,0,4,19,8,6/21 (29%),9,8/20 (40%),50%,,2,0.44,40,57/87 (66%),4,10,11,10,4,1.07,43/82 (52%),0,0,9,17/39 (44%),1,384,,1,61,,6,4,2,4,24,71%,0,15,4,10,24,22,3
2,12436871,ipswich,272,11/29 (38%),38%,0,0,0,,3,28,2,2/8 (25%),4,3/8 (38%),53%,,0,0.45,41,54/93 (58%),2,9,17,6,3,0.35,40/68 (59%),1,0,9,19/47 (40%),5,347,,,46,,5,2,2,2,20,50%,0,14,3,7,20,17,3
2,12436871,liverpool,492,18/29 (62%),62%,6,4,2,,7,16,10,4/23 (17%),9,11/22 (50%),47%,,1,2.65,47,115/152 (76%),2,18,8,4,2,0.24,28/68 (41%),0,0,5,30/56 (54%),0,570,,,45,,12,6,5,6,9,44%,4,24,2,18,9,50,1
3,12436872,arsenal,357,17/30 (57%),53%,2,1,1,2,6,15,8,3/15 (20%),9,9/19 (47%),50%,,2,1.24,40,94/118 (80%),1,17,14,6,3,0.19,41/85 (48%),1,0,8,17/37 (46%),0,420,,0,38,,12,6,6,6,18,72%,,18,3,18,18,50,2
3,12436872,wolves,307,13/30 (43%),47%,1,1,0,1,1,14,2,4/14 (29%),10,8/16 (50%),50%,,0,0.47,56,67/93 (72%),2,14,17,8,4,-0.30,44/85 (52%),1,0,7,20/49 (41%),1,375,,2,42,,6,5,3,3,19,63%,,15,4,9,19,18,2
4,12436873,everton,266,18/31 (58%),38%,0,0,0,2,4,11,1,4/17 (24%),10,5/16 (31%),53%,,1,0.45,69,59/103 (57%),1,8,8,4,2,-0.63,36/71 (51%),1,0,13,45/82 (55%),7,344,,0,52,1,6,4,1,3,23,48%,,27,2,9,23,18,1
4,12436873,brighton,492,13/31 (42%),62%,2,1,1,0,2,19,5,4/14 (29%),11,6/18 (33%),47%,,1,1.43,36,71/104 (68%),3,8,8,12,1,0.05,35/71 (49%),0,1,8,20/43 (47%),1,575,,2,51,0,9,3,5,1,21,62%,,14,1,10,21,29,1
5,12436874,newcastle,117,7/16 (44%),22%,1,0,1,1,2,34,3,1/12 (8%),8,1/6 (17%),48%,0,,0.25,31,34/66 (52%),2,15,16,10,3,0.42,33/67 (49%),0,0,4,12/39 (31%),1,181,,0,39,1,3,0,1,0,16,88%,,11,3,3,16,14,2
5,12436874,southampton,579,9/16 (56%),78%,3,3,0,0,11,14,12,4/30 (13%),9,6/13 (46%),52%,1,,1.77,67,185/222 (83%),4,16,15,3,0,-0.37,34/67 (51%),2,0,3,19/26 (73%),2,649,,1,41,0,13,4,4,6,13,46%,,18,0,19,13,48,4
